소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
989.50,서울특별시 마포구 합정동 352-6 C& 한강랜드 잠두봉 유람선 선착장,"서울특별시 마포구 마포나루길 582, C& 한강랜드 잠두봉 유람선 선착장 1,2층 (합정동)",잠두봉더나인,한식,191662.268221115,449270.000796123
131.09,서울특별시 마포구 합정동 354-21 지하1층,"서울특별시 마포구 독막로8길 3 (합정동, 지하1층)",다돈 앤 씨엘 D,경양식,192726.056701565,449491.077718734
82.50,서울특별시 마포구 합정동 354-17번지 ,"서울특별시 마포구 독막로8길 7 (합정동, 1층 일부)",리슨 Listen,한식,192727.274816449,449478.849222576
71.44,서울특별시 마포구 합정동 364-25번지 1층 ,"서울특별시 마포구 독막로2길 9, 1층 (합정동)",합정감자탕,한식,192401.948332098,449548.205659962
96.22,서울특별시 마포구 합정동 412-19번지 2층 ,"서울특별시 마포구 독막로3길 8, 2층 (합정동)",구름공방합정역점,경양식,192564.660624705,449609.772875448
84.85,서울특별시 마포구 합정동 383-23 2층,"서울특별시 마포구 양화로3길 10, 2층 (합정동)",와쇼쿠 섭,경양식,192134.798194756,449682.674650997
34.00,서울특별시 마포구 합정동 386-12번지 1층 ,서울특별시 마포구 월드컵로3길 28 (합정동),구가네김밥,한식,192079.698408831,449799.970924939
25.70,서울특별시 마포구 합정동 411-7번지 ,"서울특별시 마포구 독막로5길 8 (합정동, 지하1층 일부)",달의다락,호프/통닭,192686.593934585,449567.525598464
76.56,서울특별시 마포구 합정동 389-16 ,"서울특별시 마포구 양화로1길 38 (합정동, 101호)",새벽숯불가든,한식,192023.193452802,449797.932010094
71.34,서울특별시 마포구 합정동 472번지 ,"서울특별시 마포구 월드컵로1길 14 (합정동, 마포한강푸르지오 B113-3호)",포로이,"외국음식전문점(인도,태국등)",192171.23539752,449751.486972783
44.59,서울특별시 마포구 합정동 388-15번지 ,"서울특별시 마포구 월드컵로3길 31-30 (합정동, 1층)",로원,한식,192059.626383028,449741.817719424
66.11,서울특별시 마포구 합정동 362-4 ,"서울특별시 마포구 독막로8길 6, 7층 (합정동)",바인웍스테이스팅룸 vineworks tasting room,"외국음식전문점(인도,태국등)",192679.588689978,449489.124168404
105.59,서울특별시 마포구 합정동 414-19번지 2층 ,"서울특별시 마포구 독막로 9, 2층 (합정동)",월남선생합정역점,"외국음식전문점(인도,태국등)",192386.191750725,449638.311553679
71.24,서울특별시 마포구 합정동 411-16번지 ,"서울특별시 마포구 독막로7길 5 (합정동, 지상1층)",홍대화덕피자,패스트푸드,192723.331759231,449552.644448374
53.28,서울특별시 마포구 합정동 386-40번지 2층 ,"서울특별시 마포구 양화로3길 37-1, 2층 (합정동)",프리,통닭(치킨),192078.28563554,449811.8163479
42.90,서울특별시 마포구 합정동 410-2번지 ,"서울특별시 마포구 독막로 55 (합정동, 1층 일부)",삐친노가리,호프/통닭,192810.71646621,449544.209913236
58.00,서울특별시 마포구 합정동 383-9번지 1층일부(좌측) ,"서울특별시 마포구 월드컵로1길 7 (합정동, 1층일부(좌측))",남고집합정점,분식,192198.23892431,449689.244462289
66.07,서울특별시 마포구 합정동 412-31 1층 ,"서울특별시 마포구 양화로6길 48 (합정동,1층)",더한쭈꾸미,한식,192577.729040588,449606.34663693
191.94,서울특별시 마포구 합정동 410-31번지 1층 ,"서울특별시 마포구 양화로6길 100 (합정동,1층)",어른이대공원,한식,192828.650876835,449551.39363757
26.10,서울특별시 마포구 합정동 395-4 1층,"서울특별시 마포구 포은로 25 (합정동,1층)",아초,호프/통닭,191822.889591465,449758.966171434
67.38,서울특별시 마포구 합정동 388-29번지 2층일부 201호,"서울특별시 마포구 양화로1길 32 (합정동, 2층일부)",연희중식,중국식,192028.499240829,449762.100496976
70.94,서울특별시 마포구 합정동 388-29 1층일부(102호) ,"서울특별시 마포구 양화로1길 32 (합정동, 1층일부)",찐육개장,한식,192028.499240829,449762.100496976
49.60,서울특별시 마포구 합정동 388-29 1층일부 ,"서울특별시 마포구 양화로1길 32 (합정동, 1층일부)",합정뒷고기,한식,192028.499240829,449762.100496976
27.90,서울특별시 마포구 합정동 383-3번지 ,서울특별시 마포구 월드컵로1길 5 (합정동),투다리,호프/통닭,192212.846088377,449690.552677402
31.86,서울특별시 마포구 합정동 396-1번지 ,"서울특별시 마포구 포은로 13, 1층 (합정동, 일부)",스이츠,경양식,191896.858234691,449678.803243825
82.88,서울특별시 마포구 합정동 393-14 ,서울특별시 마포구 포은로 8 (합정동),덕이손만두,한식,191964.194149561,449645.179120308
43.00,서울특별시 마포구 합정동 372-32번지 ,서울특별시 마포구 성지1길 12 (합정동),옥이네생선구이전문점,한식,192340.562766404,449544.397127223
